Symbol,Market Cap (M),Sector,Use Case,Sub Use Case,Tech Stack,Sub Tech Stack,Tertiary Tech Stack,Ecosystem,Region,Custodies,CoinGecko ID,CoinGecko Symbol,CoinGecko Name,CoinMarketCap ID,CoinMarketCap Symbol,CoinMarketCap Name,CoinMarketCap Slug,CoinMetrics ID,CoinMetrics Name
KNC,23318052,Decentralized Finance,Trading Platforms,Spot / Swaps,Application,,,,,Coinbase Custody; BitGo Custody; Gemini Custody; Zodia,kyber-network-crystal,knc,Kyber Network Crystal,9444,KNC,Kyber Network Crystal v2,kyber-network-crystal-v2,knc,Kyber Network Crystal
DIA,23132899,Decentralized Finance,DeFi Infrastructure & Data,Oracles,Application,,,,,Coinbase Custody; BitGo Custody,dia-data,dia,DIA,6138,DIA,DIA,dia,dia,DIA
TON_TOKAMAK,23067639,Blockchain Utilities & Tools,Developer Tools,Other (Developer Tools),Application,,,,,,tokamak-network,ton,Tokamak Network,6731,TOKAMAK,Tokamak Network,tokamak-network,ton_tokamaknetwork,Tokamak Network
CTSI,22924480,Blockchain Utilities & Tools,Scalability & Performance,,Blockchain Network,Layer 2,Optimistic Rollup,,,Coinbase Custody; BitGo Custody,cartesi,ctsi,Cartesi,5444,CTSI,Cartesi,cartesi,ctsi,Cartesi
BICO,22803697,Blockchain Utilities & Tools,Developer Tools,,Application,,,,,Coinbase Custody; BitGo Custody,biconomy,bico,Biconomy,9543,BICO,Biconomy,biconomy,bico,Biconomy
MAGIC,22381806,"Media, Arts & Entertainment",Gaming,Games,Application,,,,,BitGo Custody,magic,magic,Treasure,14783,MAGIC,Treasure,magic-token,magic,Treasure
GOAT,22146048,Meme,,,Application,,,Solana,,Gemini Custody; BitGo Custody,goatseus-maximus,goat,Goatseus Maximus,33440,GOAT,Goatseus Maximus,goatseus-maximus,goat,Goatseus Maximus
PRO,21470861,Centralized Finance,Other (Centralized Finance),,Application,,,,,Coinbase Custody; BitGo Custody,propy,pro,Propy,1974,PRO,Propy,propy,pro,Propy
ORDER,21388828,Decentralized Finance,DeFi Infrastructure & Data,Trading Infrastructure,Blockchain Network,Layer 2,Optimistic Rollup,,,BitGo Custody,orderly-network,order,Orderly,32809,ORDER,Orderly,orderly-network,order,Orderly Network
NYM,21124658,Blockchain Utilities & Tools,Privacy (Utilities & Tools),,Blockchain Network,Layer 0,,,,BitGo Custody,nym,nym,Nym,17591,NYM,NYM,nym,nym,NYM
ID,21012619,Blockchain Utilities & Tools,Identity & Authentication,,Application,,,,,,space-id,id,SPACE ID,21846,ID,SPACE ID,space-id,id,SPACE ID
F,20965129,Decentralized Finance,Trading Platforms,Derivatives,Application,,,Base,,BitGo Custody,synfutures,f,SynFutures,34297,F,SynFutures,synfutures,f,SynFutures
PHA,20588250,Blockchain Utilities & Tools,Developer Tools,,Blockchain Network,Sidechain,Parachain,,,Anchorage Digital,pha,pha,PHALA,6841,PHA,Phala Network,phala-network,pha,Phala Network
POND,20398851,Decentralized Physical Infrastructure,Computation,General Purpose Compute,Application,,,,,Coinbase Custody,marlin,pond,Marlin,7497,POND,Marlin,marlin,pond,Marlin
AIXBT,20366387,Blockchain Utilities & Tools,Data & Analytics Providers,Artificial Intelligence (Data & Analytics Providers),Application,,,Base,,BitGo Custody,aixbt,aixbt,aixbt,34103,AIXBT,aixbt,aixbt,aixbt,aixbt by Virtuals
KERNEL,20358610,Decentralized Finance,Managed Yield Services,Liquid Staking,Application,,,,,Coinbase Custody; Anchorage Digital,kernel-2,kernel,KernelDAO,36180,KERNEL,KernelDAO,kerneldao,kernel,KernelDAO
GIGA,20321091,Meme,,,Application,,,Solana,,,gigachad-2,giga,Gigachad,30063,GIGA,Gigachad,gigachad-meme,giga,Gigachad
BITCOIN,20256784,Meme,,,Application,,,,,,harrypotterobamasonic10in,bitcoin,HarryPotterObamaSonic10Inu (ETH),25220,BITCOIN,HarryPotterObamaSonic10Inu (ERC-20),harrypotterobamasonic10inu-eth,hpos10i_eth,HarryPotterObamaSonic10Inu on Ethereum
XAI,20017128,"Media, Arts & Entertainment",Gaming,Gaming Infrastructure & Tooling,Blockchain Network,Layer 3,Optimistic Rollup,Arbitrum,,BitGo Custody,xai-blockchain,xai,Xai,28933,XAI,Xai,xai-games,xai,Xai
HONEY,19964193,Decentralized Physical Infrastructure,Sensor Networks,Mobility,Application,,,Solana,,BitGo Custody; Coinbase Custody,hivemapper,honey,Hivemapper,22850,HONEY,Hivemapper,hivemapper,honey,Hivemapper
DYM,19952984,General Purpose Blockchain Networks,Interchain Connectivity Platforms,,Blockchain Network,Layer 0,,,,,dymension,dym,Dymension,28932,DYM,Dymension,dymension,dym,Dymension
WET,19873165,Decentralized Finance,Trading Platforms,Spot / Swaps,Application,,,Solana,,BitGo Custody; Anchorage Digital,humidifi,wet,HumidiFi,39049,WET,Humidifi,humidifi,wet,Humidifi
CHR,19785825,General Purpose Blockchain Networks,Smart Contract Platforms,,Blockchain Network,Layer 1,PoS,,,BitGo Custody; Coinbase Custody,chromaway,chr,Chromia,3978,CHR,Chromia,chromia,chr,Chromia
CPOOL,19757461,Decentralized Finance,Lending & Borrowing,Crypto Based Lending Platforms,Application,,,,,,clearpool,cpool,Clearpool,12573,CPOOL,Clearpool,clearpool,cpool,Clearpool
CET,19623076,Centralized Finance,Exchange,,Blockchain Network,Layer 1,PoS,,,BitGo Custody,coinex-token,cet,CoinEx,2941,CET,CoinEx Token,coinex-token,cet,CoinEx
AGI,18933428,Decentralized Physical Infrastructure,Computation,Artificial Intelligence (DePIN),Application,,,,,BitGo Custody,delysium,agi,Delysium,24007,AGI,Delysium,delysium,agi_delysium,Delysium
AGLD,18928489,"Media, Arts & Entertainment",Gaming,Gaming Infrastructure & Tooling,Blockchain Network,Layer 2,Optimistic Rollup,,,Coinbase Custody,adventure-gold,agld,Adventure Gold,11568,AGLD,Adventure Gold,adventure-gold,agld,Adventure Gold
PONKE,18909639,Meme,,,Application,,,Solana,,,ponke,ponke,PONKE,29150,PONKE,Ponke,ponke,ponke,Ponke
SOPH,18763475,General Purpose Blockchain Networks,Smart Contract Platforms,,Blockchain Network,Layer 2,ZK Rollup,,,,sophon,soph,Sophon,32087,SOPH,Sophon,sophon,soph,Sophon
KEEP,18517543,Decentralized Finance,DeFi Infrastructure & Data,Bridges & Bridge Aggregators,Application,,,,,Coinbase Custody; Anchorage Digital; Gemini Custody; BitGo Custody,keep-network,keep,Keep Network,5566,KEEP,Keep Network,keep-network,keep,Keep Network
